TeamID,TeamName,FirstD1Season,LastD1Season,most_recent,number_of_tourneys,percent_of_tourneys_made,best_seed,worst_seed,average_seed,best_finish,best_season,worst_finish,worst_season,average_finish
1101,Abilene Chr,2014,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1102,Air Force,1985,2019,2006,2,12.5,11,13,12.0,R64,2004,R64,2004,R64
1103,Akron,1985,2019,2013,3,18.75,12,15,13.75,R64,2009,R64,2009,R64
1104,Alabama,1985,2019,2018,6,37.5,2,10,6.4375,Elite 8,2004,R64,2003,R64
1105,Alabama A&M,2000,2019,2005,1,6.25,16,16,16.0,R64,2005,R64,2005,R64
1106,Alabama St,1985,2019,2011,3,18.75,16,16,16.0,R64,2004,R64,2004,R64
1107,Albany NY,2000,2019,2015,5,31.25,13,16,14.8,R32,2014,R64,2006,R64
1108,Alcorn St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1109,Alliant Intl,1985,1991,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1110,American Univ,1985,2019,2014,3,18.75,14,15,14.666666666666666,R64,2008,R64,2008,R64
1111,Appalachian St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1112,Arizona,1985,2019,2018,14,87.5,1,12,4.4375,Elite 8,2003,R64,2004,R32
1113,Arizona St,1985,2019,2018,4,25.0,5,11,8.333333333333334,R32,2003,R64,2014,R64
1114,Ark Little Rock,1985,2019,2016,2,12.5,12,16,14.2,R32,2016,R64,2011,R64
1115,Ark Pine Bluff,1999,2019,2010,1,6.25,16,16,16.0,R32,2010,R32,2010,R32
1116,Arkansas,1985,2019,2018,6,37.5,1,12,6.45,R32,2008,R64,2006,R64
1117,Arkansas St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1118,Armstrong St,1987,1987,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1119,Army,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1120,Auburn,1985,2019,2018,2,12.5,1,11,7.125,Sweet 16,2003,R32,2018,R32
1121,Augusta,1985,1991,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1122,Austin Peay,1985,2019,2016,3,18.75,13,16,14.4,R64,2003,R64,2003,R64
1123,Ball St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1124,Baylor,1985,2019,2017,7,43.75,3,11,5.25,Elite 8,2010,R64,2008,R32
1125,Belmont,2000,2019,2015,7,43.75,11,15,14.0,R64,2006,R64,2006,R64
1126,Bethune-Cookman,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1127,Binghamton,2002,2019,2009,1,6.25,15,15,15.0,R64,2009,R64,2009,R64
1128,Birmingham So,2003,2006,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1129,Boise St,1985,2019,2015,3,18.75,11,14,13.333333333333334,R64,2008,R64,2008,R64
1130,Boston College,1985,2019,2009,5,31.25,3,11,7.090909090909091,Sweet 16,2006,R64,2009,R32
1131,Boston Univ,1985,2019,2011,1,6.25,12,16,15.0,R64,2011,R64,2011,R64
1132,Bowling Green,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1133,Bradley,1985,2019,2006,1,6.25,7,13,9.25,Sweet 16,2006,Sweet 16,2006,Sweet 16
1134,Brooklyn,1985,1992,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1135,Brown,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1136,Bryant,2009,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1137,Bucknell,1985,2019,2018,6,37.5,9,16,13.25,R32,2005,R64,2011,R64
1138,Buffalo,1992,2019,2018,3,18.75,12,14,13.0,R32,2018,R64,2015,R64
1139,Butler,1985,2019,2018,11,68.75,4,14,8.666666666666666,Championship,2010,R64,2009,R32
1140,BYU,1985,2019,2015,10,62.5,3,14,9.222222222222221,Sweet 16,2011,R64,2003,R64
1141,C Michigan,1985,2019,2003,1,6.25,11,13,12.0,R32,2003,R32,2003,R32
1142,Cal Poly SLO,1995,2019,2014,1,6.25,16,16,16.0,R32,2014,R32,2014,R32
1143,California,1985,2019,2016,7,43.75,4,12,7.785714285714286,R32,2003,R64,2006,R64
1144,Campbell,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1145,Canisius,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1146,Cent Arkansas,2007,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1147,Centenary,1985,2011,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1148,Central Conn,1987,2019,2007,1,6.25,14,16,15.0,R64,2007,R64,2007,R64
1149,Charleston So,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1150,Charlotte,1985,2019,2005,2,12.5,5,13,8.1,R64,2004,R64,2004,R64
1151,Chattanooga,1985,2019,2016,3,18.75,12,16,14.125,R64,2005,R64,2005,R64
1152,Chicago St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1153,Cincinnati,1985,2019,2018,11,68.75,1,10,5.0,Sweet 16,2012,R64,2003,R64
1154,Citadel,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1155,Clemson,1985,2019,2018,5,31.25,4,12,6.636363636363637,Sweet 16,2018,R64,2008,R64
1156,Cleveland St,1985,2019,2009,1,6.25,13,14,13.5,R32,2009,R32,2009,R32
1157,Coastal Car,1987,2019,2015,2,12.5,15,16,15.75,R64,2014,R64,2014,R64
1158,Col Charleston,1992,2019,2018,1,6.25,8,14,11.8,R64,2018,R64,2018,R64
1159,Colgate,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1160,Colorado,1985,2019,2016,5,31.25,8,11,9.333333333333334,R32,2012,R64,2003,R64
1161,Colorado St,1985,2019,2013,3,18.75,8,14,10.6,R32,2013,R64,2003,R64
1162,Columbia,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1163,Connecticut,1985,2019,2016,10,62.5,1,11,3.95,Championship,2004,R64,2008,Sweet 16
1164,Coppin St,1986,2019,2008,1,6.25,15,16,15.25,R64,2008,R64,2008,R64
1165,Cornell,1985,2019,2010,3,18.75,12,16,14.0,Sweet 16,2010,R64,2008,R64
1166,Creighton,1985,2019,2018,8,50.0,3,14,8.928571428571429,R32,2012,R64,2003,R64
1167,CS Bakersfield,2008,2019,2016,1,6.25,15,15,15.0,R64,2016,R64,2016,R64
1168,CS Fullerton,1985,2019,2018,2,12.5,14,15,14.5,R64,2008,R64,2008,R64
1169,CS Northridge,1991,2019,2009,1,6.25,13,15,14.0,R64,2009,R64,2009,R64
1170,CS Sacramento,1992,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1171,Dartmouth,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1172,Davidson,1985,2019,2018,7,43.75,10,16,13.0,Elite 8,2008,R64,2006,R64
1173,Dayton,1985,2019,2017,7,43.75,4,12,9.3,Elite 8,2014,R64,2003,R64
1174,Delaware,1985,2019,2014,1,6.25,13,15,13.4,R64,2014,R64,2014,R64
1175,Delaware St,1985,2019,2005,1,6.25,16,16,16.0,R64,2005,R64,2005,R64
1176,Denver,1999,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1177,DePaul,1985,2019,2004,1,6.25,3,12,8.0,R32,2004,R32,2004,R32
1178,Detroit,1985,2019,2012,1,6.25,10,15,12.333333333333334,R64,2012,R64,2012,R64
1179,Drake,1985,2019,2008,1,6.25,5,5,5.0,R64,2008,R64,2008,R64
1180,Drexel,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1181,Duke,1985,2019,2018,16,100.0,1,8,2.212121212121212,Championship,2010,R64,2007,Sweet 16
1182,Duquesne,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1183,E Illinois,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1184,E Kentucky,1985,2019,2014,3,18.75,15,16,15.333333333333334,R64,2005,R64,2005,R64
1185,E Michigan,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1186,E Washington,1985,2019,2015,2,12.5,13,15,14.0,R64,2004,R64,2004,R64
1187,East Carolina,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1188,Edwardsville,2009,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1189,Elon,2000,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1190,ETSU,1985,2019,2017,5,31.25,10,16,14.0,R64,2003,R64,2003,R64
1191,Evansville,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1192,F Dickinson,1985,2019,2016,2,12.5,15,16,15.8,R64,2005,R64,2005,R64
1193,Fairfield,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1194,FL Atlantic,1994,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1195,FL Gulf Coast,2008,2019,2017,3,18.75,14,16,15.0,Sweet 16,2013,R64,2017,R32
1196,Florida,1985,2019,2018,12,75.0,1,10,4.714285714285714,Championship,2006,R64,2004,Sweet 16
1197,Florida A&M,1985,2019,2007,2,12.5,16,16,16.0,R32,2004,R64,2007,R64
1198,Florida Intl,1988,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1199,Florida St,1985,2019,2018,6,37.5,3,12,6.666666666666667,Elite 8,2018,R64,2009,R32
1200,Fordham,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1201,Fresno St,1985,2019,2016,1,6.25,9,14,10.666666666666666,R64,2016,R64,2016,R64
1202,Furman,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1203,G Washington,1985,2019,2014,4,25.0,8,12,10.333333333333334,R32,2006,R64,2005,R64
1204,Ga Southern,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1205,Gardner Webb,2003,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1206,George Mason,1985,2019,2011,3,18.75,8,15,12.333333333333334,Final Four,2006,R64,2008,R32
1207,Georgetown,1985,2019,2015,8,50.0,1,10,4.666666666666667,Final Four,2007,R64,2010,R32
1208,Georgia,1985,2019,2015,3,18.75,3,14,8.0,R64,2008,R64,2008,R64
1209,Georgia St,1985,2019,2018,2,12.5,11,16,14.0,R32,2015,R64,2018,R64
1210,Georgia Tech,1985,2019,2010,4,25.0,2,10,5.6,Championship,2004,R64,2007,R32
1211,Gonzaga,1985,2019,2018,16,100.0,1,14,6.809523809523809,Championship,2017,R64,2007,R32
1212,Grambling,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1213,Grand Canyon,2014,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1214,Hampton,1996,2019,2016,4,25.0,15,16,15.666666666666666,R32,2015,R64,2006,R64
1215,Hardin-Simmons,1985,1990,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1216,Hartford,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1217,Harvard,1985,2019,2015,4,25.0,12,14,12.75,R32,2013,R64,2012,R64
1218,Hawaii,1985,2019,2016,1,6.25,10,13,12.0,R32,2016,R32,2016,R32
1219,High Point,2000,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1220,Hofstra,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1221,Holy Cross,1985,2019,2016,3,18.75,13,16,14.5,R32,2016,R64,2003,R64
1222,Houston,1985,2019,2018,2,12.5,6,13,9.8,R32,2018,R64,2010,R64
1223,Houston Bap,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1224,Howard,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1225,Idaho,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1226,Idaho St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1227,IL Chicago,1985,2019,2004,1,6.25,9,15,12.333333333333334,R64,2004,R64,2004,R64
1228,Illinois,1985,2019,2013,8,50.0,1,12,5.045454545454546,Championship,2005,R64,2007,R32
1229,Illinois St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1230,Incarnate Word,2014,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1231,Indiana,1985,2019,2016,8,50.0,1,10,5.08,Sweet 16,2012,R64,2008,R32
1232,Indiana St,1985,2019,2011,1,6.25,12,14,13.0,R64,2011,R64,2011,R64
1233,Iona,1985,2019,2018,6,37.5,12,15,13.7,R64,2006,R64,2006,R64
1234,Iowa,1985,2019,2016,5,31.25,2,11,6.705882352941177,R32,2015,R64,2005,R64
1235,Iowa St,1985,2019,2017,7,43.75,2,13,6.888888888888889,Sweet 16,2014,R64,2015,R32
1236,IPFW,2003,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1237,IUPUI,1999,2019,2003,1,6.25,16,16,16.0,R64,2003,R64,2003,R64
1238,Jackson St,1985,2019,2007,1,6.25,16,16,16.0,R64,2007,R64,2007,R64
1239,Jacksonville,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1240,Jacksonville St,1996,2019,2017,1,6.25,15,15,15.0,R64,2017,R64,2017,R64
1241,James Madison,1985,2019,2013,1,6.25,14,16,15.0,R32,2013,R32,2013,R32
1242,Kansas,1985,2019,2018,16,100.0,1,8,2.4545454545454546,Championship,2003,R64,2005,Sweet 16
1243,Kansas St,1985,2019,2018,8,50.0,2,11,7.5,Elite 8,2010,R64,2013,R32
1244,Kennesaw,2006,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1245,Kent,1985,2019,2017,3,18.75,9,14,11.5,R64,2006,R64,2006,R64
1246,Kentucky,1985,2019,2018,14,87.5,1,12,3.6206896551724137,Championship,2012,R64,2008,Sweet 16
1247,La Salle,1985,2019,2013,1,6.25,4,13,10.2,Elite 8,2013,Elite 8,2013,Elite 8
1248,Lafayette,1985,2019,2015,1,6.25,15,16,15.333333333333334,R64,2015,R64,2015,R64
1249,Lamar,1985,2019,2012,1,6.25,16,16,16.0,R64,2012,R64,2012,R64
1250,Lehigh,1985,2019,2012,3,18.75,15,16,15.8,R32,2012,R64,2004,R64
1251,Liberty,1989,2019,2013,2,12.5,16,16,16.0,R64,2004,R64,2004,R64
1252,Lipscomb,2003,2019,2018,1,6.25,15,15,15.0,R64,2018,R64,2018,R64
1253,Long Beach St,1985,2019,2012,2,12.5,11,13,12.0,R64,2007,R64,2007,R64
1254,Long Island,1985,2019,2018,4,25.0,13,16,15.2,R64,2011,R64,2011,R64
1255,Longwood,2005,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1256,Louisiana Tech,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1257,Louisville,1985,2019,2017,13,81.25,1,11,4.92,Championship,2013,R64,2004,Sweet 16
1258,Loy Marymount,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1259,Loyola MD,1985,2019,2012,1,6.25,15,15,15.0,R64,2012,R64,2012,R64
1260,Loyola-Chicago,1985,2019,2018,1,6.25,4,11,7.5,Final Four,2018,Final Four,2018,Final Four
1261,LSU,1985,2019,2015,5,31.25,4,11,7.466666666666667,Final Four,2006,R64,2003,R32
1262,MA Lowell,2014,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1263,Maine,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1264,Manhattan,1985,2019,2015,4,25.0,11,16,13.166666666666666,R32,2004,R64,2003,R64
1265,Marist,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1266,Marquette,1985,2019,2017,10,62.5,3,12,6.466666666666667,Final Four,2003,R64,2006,R32
1267,Marshall,1985,2019,2018,1,6.25,13,15,13.666666666666666,R32,2018,R32,2018,R32
1268,Maryland,1985,2019,2017,8,50.0,1,10,4.9,Sweet 16,2003,R64,2017,R32
1269,Massachusetts,1985,2019,2014,1,6.25,1,11,4.375,R64,2014,R64,2014,R64
1270,McNeese St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1271,MD E Shore,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1272,Memphis,1985,2019,2014,10,62.5,1,12,5.555555555555555,Championship,2008,R64,2003,R32
1273,Mercer,1985,2019,2014,1,6.25,14,15,14.5,R32,2014,R32,2014,R32
1274,Miami FL,1986,2019,2018,5,31.25,2,11,5.555555555555555,Sweet 16,2013,R64,2017,R32
1275,Miami OH,1985,2019,2007,1,6.25,10,14,12.0,R64,2007,R64,2007,R64
1276,Michigan,1985,2019,2018,8,50.0,1,11,4.95,Championship,2013,R64,2012,Sweet 16
1277,Michigan St,1985,2019,2018,16,100.0,1,10,4.928571428571429,Championship,2009,R64,2004,Sweet 16
1278,Minnesota,1985,2019,2017,5,31.25,1,11,7.636363636363637,R32,2013,R64,2005,R64
1279,Mississippi,1985,2019,2015,2,12.5,3,12,8.0,R32,2013,R32,2013,R32
1280,Mississippi St,1985,2019,2009,5,31.25,2,13,6.111111111111111,R32,2004,R64,2003,R64
1281,Missouri,1985,2019,2018,7,43.75,1,12,6.9,Elite 8,2009,R64,2011,R64
1282,Missouri KC,1990,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
